time,model,mean_npv
33,2,14.714706998590858
34,2,15.011808050469575
35,2,15.331320610927751
36,2,15.636682541466897
37,2,15.933103796113468
38,2,16.220819287389876
39,2,16.505101841633785
40,2,16.777435633306624
41,2,17.046992698854073
42,2,17.297803259715042
43,2,17.551661535825026
44,2,17.807932227132884
45,2,18.053413175917196
46,2,18.290025678358717
47,2,18.552381621065877
48,2,18.806072907395567
49,2,19.028838881544356
50,2,19.237615152516604
51,2,19.45736724783304
52,2,19.669921633454393
53,2,19.87132510529532
54,2,20.081948184416543
55,2,20.274085883211065
56,2,20.474780557416125
57,2,20.66445637724063
58,2,20.854113229483154
59,2,21.04735760069805
60,2,21.216914629016195
61,2,21.39341023757881
62,2,21.567837517971366
63,2,21.728887294469295
64,2,21.894499591322614
65,2,22.057903751958637
66,2,22.20952891959691
67,2,22.365710783266078
68,2,22.523904154422883
69,2,22.675186241496803
70,2,22.826408493118375
71,2,22.976549394990425
72,2,23.124174894513697
73,2,23.258908129253157
74,2,23.394590469346205
75,2,23.53713500051284
76,2,23.673137693925895
77,2,23.798102918751646
78,2,23.92560609116651
79,2,24.05385512573528
80,2,24.1733174393286
81,2,24.281926601731968
82,2,24.390692725071855
83,2,24.51528225222178
84,2,24.63034049119895
85,2,24.74219964718804
86,2,24.852545867168303
87,2,24.960696197370954
88,2,25.06583813132865
89,2,25.162845744154023
90,2,25.261870746093038
91,2,25.355539531735314
92,2,25.456983020049826
93,2,25.556872384642656
94,2,25.64460433082132
95,2,25.73282188394706
96,2,25.819283907765595
97,2,25.910027259807396
98,2,25.988180264704376
99,2,26.067111648319482
100,2,26.14635586103045
1,3,0
2,3,9.646152401673638e-4
3,3,0.6637036124586788
4,3,2.176850477061986
5,3,3.6063039191344792
6,3,5.130144153823697
7,3,6.546018082651197
8,3,7.890965102499471
9,3,9.231773823825135
10,3,10.651851910960477
11,3,11.933387541299718
12,3,13.271473024287879
13,3,14.578291015662652
14,3,15.749969025386651
15,3,16.98226651772254
16,3,18.17693704288422
17,3,19.352828308368473
18,3,20.558468195816975
19,3,21.6702039813636
20,3,22.793404764957078
21,3,23.915981137588624
22,3,24.945880501866995
23,3,25.993864860264072
24,3,27.055707214842286
25,3,28.041740533969538
26,3,29.0075563425686
27,3,30.02301698916158
28,3,30.94048008081684
29,3,31.849215890610402
30,3,32.77832907783997
31,3,33.711570417706795
32,3,34.55340445714105
33,3,35.38521080172763
34,3,36.217702145046495
35,3,37.0311423650621
36,3,37.81524556788192
37,3,38.60904354932676
38,3,39.342133264497704
39,3,40.06338561582943
40,3,40.76579108841136
41,3,41.493418984300874
42,3,42.22253953041822
43,3,42.926573149496576
44,3,43.64023311671474
45,3,44.32058925622622
46,3,45.01927331225725
47,3,45.64119744429967
48,3,46.273703773565096
49,3,46.87599696293034
50,3,47.49534206255751
51,3,48.11821316551181
52,3,48.715272079275444
53,3,49.256154599013186
54,3,49.79712691978348
55,3,50.35691910796683
56,3,50.88797806730813
57,3,51.408788272920546
58,3,51.93456964547408
59,3,52.44405996386763
60,3,52.91665508535012
61,3,53.39310483333969
62,3,53.86036201823233
63,3,54.346341748016066
64,3,54.81821196065843
65,3,55.26628193857552
66,3,55.684383674998095
67,3,56.11375321324578
68,3,56.53253048705247
69,3,56.9567726250989
70,3,57.35044225899506
71,3,57.74326676951102
72,3,58.1282740722677
73,3,58.50700873211953
74,3,58.85823994025336
75,3,59.21871526789942
76,3,59.57637619721163
77,3,59.932260068253846
78,3,60.271012339136036
79,3,60.61205217186131
80,3,60.94067409174596
81,3,61.278131235184375
82,3,61.5800876308864
83,3,61.90178612120209
84,3,62.20316447620036
85,3,62.510549799162256
86,3,62.810392031806515
87,3,63.0923865923026
88,3,63.38195501302323
89,3,63.65300569591766
90,3,63.91701753663547
91,3,64.19947487303007
92,3,64.4521355238321
93,3,64.70302043955364
94,3,64.94967167232237
95,3,65.19632378544627
96,3,65.43208954010828
97,3,65.66173452708651
98,3,65.89087129413214
99,3,66.11819367894364
100,3,66.34516309633482
