model,states,policy,escapement
1,0,1,0
1,0.100418410041841,1,0.100418410041841
1,0.200836820083682,1,0.200836820083682
1,0.301255230125523,1,0.301255230125523
1,0.401673640167364,1,0.401673640167364
1,0.502092050209205,1,0.502092050209205
1,0.602510460251046,1,0.602510460251046
1,0.702928870292887,1,0.702928870292887
1,0.803347280334728,1,0.803347280334728
1,0.9037656903765691,1,0.9037656903765691
1,1.00418410041841,1,1.00418410041841
1,1.104602510460251,1,1.104602510460251
1,1.205020920502092,1,1.205020920502092
1,1.3054393305439331,1,1.3054393305439331
1,1.405857740585774,1,1.405857740585774
1,1.506276150627615,1,1.506276150627615
1,1.606694560669456,1,1.606694560669456
1,1.707112970711297,1,1.707112970711297
1,1.8075313807531381,1,1.8075313807531381
1,1.907949790794979,1,1.907949790794979
1,2.00836820083682,1,2.00836820083682
1,2.1087866108786613,1,2.1087866108786613
1,2.209205020920502,1,2.209205020920502
1,2.309623430962343,1,2.309623430962343
1,2.410041841004184,1,2.410041841004184
1,2.510460251046025,1,2.510460251046025
1,2.6108786610878663,1,2.6108786610878663
1,2.711297071129707,1,2.711297071129707
1,2.811715481171548,1,2.811715481171548
1,2.912133891213389,1,2.912133891213389
1,3.01255230125523,1,3.01255230125523
1,3.1129707112970713,1,3.1129707112970713
1,3.213389121338912,1,3.213389121338912
1,3.313807531380753,1,3.313807531380753
1,3.414225941422594,1,3.414225941422594
1,3.514644351464435,1,3.514644351464435
1,3.6150627615062763,1,3.6150627615062763
1,3.715481171548117,1,3.715481171548117
1,3.815899581589958,1,3.815899581589958
1,3.916317991631799,1,3.916317991631799
1,4.01673640167364,1,4.01673640167364
1,4.117154811715481,1,4.117154811715481
1,4.2175732217573225,1,4.2175732217573225
1,4.317991631799163,1,4.317991631799163
1,4.418410041841004,1,4.418410041841004
1,4.518828451882845,1,4.518828451882845
1,4.619246861924686,1,4.619246861924686
1,4.7196652719665275,1,4.7196652719665275
1,4.820083682008368,1,4.820083682008368
1,4.920502092050209,1,4.920502092050209
1,5.02092050209205,1,5.02092050209205
1,5.121338912133891,1,5.121338912133891
1,5.2217573221757325,1,5.2217573221757325
1,5.322175732217573,1,5.322175732217573
1,5.422594142259414,1,5.422594142259414
1,5.523012552301255,1,5.523012552301255
1,5.623430962343096,1,5.623430962343096
1,5.7238493723849375,1,5.7238493723849375
1,5.824267782426778,1,5.824267782426778
1,5.924686192468619,1,5.924686192468619
1,6.02510460251046,1,6.02510460251046
1,6.125523012552301,1,6.125523012552301
1,6.2259414225941425,1,6.2259414225941425
1,6.326359832635983,1,6.326359832635983
1,6.426778242677824,1,6.426778242677824
1,6.527196652719665,1,6.527196652719665
1,6.627615062761506,1,6.627615062761506
1,6.7280334728033475,1,6.7280334728033475
1,6.828451882845188,1,6.828451882845188
1,6.928870292887029,1,6.928870292887029
1,7.02928870292887,1,7.02928870292887
1,7.129707112970711,1,7.129707112970711
1,7.2301255230125525,1,7.2301255230125525
1,7.330543933054393,1,7.330543933054393
1,7.430962343096234,1,7.430962343096234
1,7.531380753138075,1,7.531380753138075
1,7.631799163179916,1,7.631799163179916
1,7.7322175732217575,1,7.7322175732217575
1,7.832635983263598,1,7.832635983263598
1,7.933054393305439,1,7.933054393305439
1,8.03347280334728,2,7.933054393305439
1,8.133891213389122,3,7.93305439330544
1,8.234309623430962,4,7.933054393305438
1,8.334728033472803,5,7.933054393305439
1,8.435146443514645,6,7.93305439330544
1,8.535564853556485,7,7.933054393305439
1,8.635983263598327,8,7.93305439330544
1,8.736401673640167,9,7.933054393305438
1,8.836820083682008,10,7.933054393305439
1,8.93723849372385,11,7.93305439330544
1,9.03765690376569,12,7.933054393305439
1,9.138075313807532,13,7.93305439330544
1,9.238493723849372,14,7.933054393305438
1,9.338912133891213,15,7.933054393305439
1,9.439330543933055,16,7.93305439330544
1,9.539748953974895,17,7.933054393305439
1,9.640167364016737,18,7.93305439330544
1,9.740585774058577,19,7.933054393305438
1,9.841004184100418,20,7.933054393305439
1,9.94142259414226,21,7.93305439330544
1,10.0418410041841,22,7.933054393305438
1,10.142259414225942,23,7.93305439330544
1,10.242677824267782,24,7.933054393305438
1,10.343096234309623,25,7.933054393305439
1,10.443514644351465,26,7.93305439330544
1,10.543933054393305,27,7.933054393305438
1,10.644351464435147,28,7.93305439330544
1,10.744769874476987,29,7.933054393305438
1,10.845188284518828,30,7.933054393305439
1,10.94560669456067,31,7.93305439330544
1,11.04602510460251,32,7.933054393305438
1,11.146443514644352,33,7.93305439330544
1,11.246861924686192,34,7.933054393305438
1,11.347280334728033,35,7.933054393305439
1,11.447698744769875,36,7.93305439330544
1,11.548117154811715,37,7.933054393305438
1,11.648535564853557,38,7.93305439330544
1,11.748953974895397,39,7.933054393305438
1,11.849372384937238,40,7.933054393305439
1,11.94979079497908,41,7.93305439330544
1,12.05020920502092,42,7.933054393305439
1,12.150627615062762,43,7.933054393305439
1,12.251046025104602,44,7.933054393305438
1,12.351464435146443,45,7.933054393305439
1,12.451882845188285,46,7.93305439330544
1,12.552301255230125,47,7.933054393305439
1,12.652719665271967,48,7.933054393305439
1,12.753138075313807,49,7.933054393305438
1,12.853556485355648,50,7.933054393305439
1,12.95397489539749,51,7.93305439330544
1,13.05439330543933,52,7.933054393305439
1,13.154811715481172,53,7.933054393305439
1,13.255230125523012,54,7.933054393305438
1,13.355648535564853,55,7.933054393305439
1,13.456066945606695,56,7.93305439330544
1,13.556485355648535,57,7.933054393305439
1,13.656903765690377,58,7.933054393305439
1,13.757322175732217,59,7.933054393305438
1,13.857740585774058,60,7.933054393305439
1,13.9581589958159,61,7.93305439330544
1,14.05857740585774,62,7.933054393305439
1,14.158995815899582,63,7.933054393305439
1,14.259414225941422,64,7.933054393305438
1,14.359832635983263,65,7.933054393305439
1,14.460251046025105,66,7.93305439330544
1,14.560669456066945,67,7.933054393305439
1,14.661087866108787,68,7.933054393305439
1,14.761506276150627,69,7.933054393305438
1,14.861924686192468,70,7.933054393305439
1,14.96234309623431,71,7.93305439330544
1,15.06276150627615,72,7.933054393305439
1,15.163179916317992,73,7.933054393305439
1,15.263598326359832,74,7.933054393305438
1,15.364016736401673,75,7.933054393305439
1,15.464435146443515,76,7.93305439330544
1,15.564853556485355,77,7.933054393305439
1,15.665271966527197,78,7.933054393305439
1,15.765690376569037,79,7.933054393305438
1,15.866108786610878,80,7.933054393305439
1,15.96652719665272,81,7.93305439330544
1,16.06694560669456,82,7.933054393305438
1,16.1673640167364,83,7.933054393305438
1,16.267782426778243,84,7.93305439330544
1,16.368200836820083,85,7.933054393305438
1,16.468619246861923,86,7.933054393305438
1,16.569037656903767,87,7.93305439330544
1,16.669456066945607,88,7.93305439330544
1,16.769874476987447,89,7.933054393305438
1,16.87029288702929,90,7.93305439330544
1,16.97071129707113,91,7.93305439330544
1,17.07112970711297,92,7.933054393305438
1,17.17154811715481,93,7.933054393305438
1,17.271966527196653,94,7.93305439330544
