model,reps,value,state_index,time,action_index,state
1,4,0.8791136011633988,96,60,17,9.539748953974895
1,4,1.1966933895836764,102,61,23,10.142259414225942
1,4,0.8077680379689816,95,62,16,9.439330543933055
1,4,0.7996903575892917,95,63,16,9.439330543933055
1,4,0.6861343268116123,93,64,14,9.238493723849372
1,4,0.7837765194732649,95,65,16,9.439330543933055
1,4,0.7242095039932966,94,66,15,9.338912133891213
1,4,0.5633315356062144,91,67,12,9.03765690376569
1,4,0.45629854384103363,89,68,10,8.836820083682008
1,4,0.9034711168052466,98,69,19,9.740585774058577
1,4,0.49690911424288564,90,70,11,8.93723849372385
1,4,0.9838800462009135,100,71,21,9.94142259414226
1,4,0.6331268097302879,93,72,14,9.238493723849372
1,4,1.060730916609667,102,73,23,10.142259414225942
1,4,1.1933222811858752,105,74,26,10.443514644351465
1,4,0.5670667480195279,92,75,13,9.138075313807532
1,4,0.5613960805393327,92,76,13,9.138075313807532
1,4,0.8799883562454038,99,77,20,9.841004184100418
1,4,0.8711884726829497,99,78,20,9.841004184100418
1,4,0.27236102777561694,86,79,7,8.535564853556485
1,4,0.8089122524935823,98,80,19,9.740585774058577
1,4,0.8453133038557935,99,81,20,9.841004184100418
1,4,0.48449799363103113,91,82,12,9.03765690376569
1,4,0.436048194267928,90,83,11,8.93723849372385
1,4,0.7770378821854478,98,84,19,9.740585774058577
1,4,0.8974787539241922,101,85,22,10.0418410041841
1,4,0.9308136790699477,102,86,23,10.142259414225942
1,4,0.37697954002332884,89,87,10,8.836820083682008
1,4,0.4976129928307941,92,88,13,9.138075313807532
1,4,0.6157960786281076,95,89,16,9.439330543933055
1,4,0.9754209885469226,104,90,25,10.343096234309623
1,4,0.6437778524409689,96,91,17,9.539748953974895
1,4,0.8763426016352689,102,92,23,10.142259414225942
1,4,0.9070145926925032,103,93,24,10.242677824267782
1,4,0.39041062902851226,90,94,11,8.93723849372385
1,4,0.5797597841073407,95,95,16,9.439330543933055
1,4,0.5356980405151828,94,96,15,9.338912133891213
1,4,0.5682225644036046,95,97,16,9.439330543933055
1,4,0.5250376495089306,94,98,15,9.338912133891213
1,4,0.5197872730138413,94,99,15,9.338912133891213
1,4,0.4778330145491528,93,100,14,9.238493723849372
1,5,0,61,1,1,6.02510460251046
1,5,0,71,2,1,7.02928870292887
1,5,0.7794870627615063,88,3,9,8.736401673640167
1,5,1.7363074323012553,98,4,19,9.740585774058577
1,5,1.4324536316485355,95,5,16,9.439330543933055
1,5,1.890838793776067,100,6,21,9.94142259414226
1,5,1.5911408449625601,97,7,18,9.640167364016737
1,5,2.1311927670469113,103,8,24,10.242677824267782
1,5,1.376009243071593,95,9,16,9.439330543933055
1,5,0.9081661004272512,90,10,11,8.93723849372385
1,5,1.4385351030767661,96,11,17,9.539748953974895
1,5,1.780187190057498,100,12,21,9.94142259414226
1,5,0.9693119249863076,91,13,12,9.03765690376569
1,5,1.395809171980283,96,14,17,9.539748953974895
1,5,1.3818510802604802,96,15,17,9.539748953974895
1,5,0.9405223915022893,91,16,12,9.03765690376569
1,5,1.8622343351745327,102,17,23,10.142259414225942
1,5,1.6760109016570794,100,18,21,9.94142259414226
1,5,1.161475554848356,94,19,15,9.338912133891213
1,5,1.5605253704783983,99,20,20,9.841004184100418
1,5,1.3822969465869182,97,21,18,9.640167364016737
1,5,1.8514647925755368,103,22,24,10.242677824267782
1,5,1.434482721899829,98,23,19,9.740585774058577
1,5,1.1834482455673587,95,24,16,9.439330543933055
1,5,1.4059365157340225,98,25,19,9.740585774058577
1,5,1.082571117115197,94,26,15,9.338912133891213
1,5,1.7607245954795026,103,27,24,10.242677824267782
1,5,2.1220559037692093,108,28,29,10.744769874476987
1,5,1.350537007327404,98,29,19,9.740585774058577
1,5,1.33703163725413,98,30,19,9.740585774058577
1,5,0.8824408805877259,92,31,13,9.138075313807532
1,5,0.8736164717818484,92,32,13,9.138075313807532
1,5,1.15317374275204,96,33,17,9.539748953974895
1,5,0.7848788786606071,91,34,12,9.03765690376569
1,5,1.2715037834301837,98,35,19,9.740585774058577
1,5,1.1189233294185614,96,36,17,9.539748953974895
1,5,1.3846676201554697,100,37,21,9.94142259414226
1,5,1.096656755163132,96,38,17,9.539748953974895
1,5,0.6107007305314692,89,39,10,8.836820083682008
1,5,0.873302044660001,93,40,14,9.238493723849372
1,5,1.130590262432909,97,41,18,9.640167364016737
1,5,0.6584025645932823,90,42,11,8.93723849372385
1,5,0.6518185389473494,90,43,11,8.93723849372385
1,5,1.0324805656926015,96,44,17,9.539748953974895
1,5,1.3415794350468242,101,45,22,10.0418410041841
1,5,1.201671865391941,99,46,20,9.841004184100418
1,5,1.5027222906164486,104,47,25,10.343096234309623
1,5,0.8678221228309989,94,48,15,9.338912133891213
1,5,0.9818787446887873,96,49,17,9.539748953974895
1,5,0.425276231293331,87,50,8,8.635983263598327
1,5,1.6239476660672483,107,51,28,10.644351464435147
1,5,0.6549922253137902,91,52,12,9.03765690376569
1,5,0.8252902038953756,94,53,15,9.338912133891213
1,5,1.1088363382337152,99,54,20,9.841004184100418
1,5,0.5777620920270411,90,55,11,8.93723849372385
1,5,0.743579812438802,93,56,14,9.238493723849372
1,5,1.1891557154309762,101,57,22,10.0418410041841
1,5,1.4015049503293648,105,58,26,10.443514644351465
1,5,0.9989927285947714,98,59,19,9.740585774058577
1,5,0.7142798009452616,93,60,14,9.238493723849372
1,5,0.9247176192237501,97,61,18,9.640167364016737
1,5,0.7000656329064507,93,62,14,9.238493723849372
1,5,0.42650152404762226,88,63,9,8.736401673640167
1,5,0.7916934540133987,95,64,16,9.439330543933055
1,5,0.4702659116839589,89,65,10,8.836820083682008
1,5,1.0345850057047095,100,66,21,9.94142259414226
1,5,0.7169674089533636,94,67,15,9.338912133891213
1,5,0.6083980584547115,92,68,13,9.138075313807532
1,5,0.7026997575151918,94,69,15,9.338912133891213
1,5,0.49690911424288564,90,70,11,8.93723849372385
1,5,0.8854920415808223,98,71,19,9.740585774058577
1,5,0.876637121165014,98,72,19,9.740585774058577
1,5,0.9160857916174395,99,73,20,9.841004184100418
1,5,1.0501236074435703,102,74,23,10.142259414225942
1,5,0.5670667480195279,92,75,13,9.138075313807532
1,5,0.8420941208089989,98,76,19,9.740585774058577
1,5,0.8336731796009089,98,77,19,9.740585774058577
1,5,0.5043722736585499,91,78,12,9.03765690376569
1,5,0.9986571018439289,102,79,23,10.142259414225942
1,5,0.8987913916595359,100,80,21,9.94142259414226
1,5,0.7563329560814994,97,81,18,9.640167364016737
1,5,0.6606790822241333,95,82,16,9.439330543933055
1,5,0.7848867496822705,98,83,19,9.740585774058577
1,5,0.7770378821854478,98,84,19,9.740585774058577
1,5,0.5555820857625952,93,85,14,9.238493723849372
1,5,0.5923359775899667,94,86,15,9.338912133891213
1,5,0.5026393866977718,92,87,13,9.138075313807532
1,5,0.7049517398436249,97,88,18,9.640167364016737
1,5,0.3694776471768646,89,89,10,8.836820083682008
1,5,0.772208282599647,99,90,20,9.841004184100418
1,5,0.9656667786614533,104,91,25,10.343096234309623
1,5,0.8763426016352689,102,92,23,10.142259414225942
1,5,0.394354170735871,90,93,11,8.93723849372385
1,5,0.11712318870855368,83,94,4,8.234309623430962
1,5,0.7730130454764542,100,95,21,9.94142259414226
1,5,0.7270187692706052,99,96,20,9.841004184100418
1,5,0.5303410601100309,94,97,15,9.338912133891213
1,5,0.412529581757017,91,98,12,9.03765690376569
1,5,0.8168085718788936,102,99,23,10.142259414225942
1,5,0.8086404861601046,102,100,23,10.142259414225942
1,6,0,61,1,1,6.02510460251046
1,6,0,72,2,1,7.129707112970711
1,6,1.1692305941422594,92,3,13,9.138075313807532
1,6,2.218615052384937,103,4,24,10.242677824267782
1,6,2.3874227194142255,105,5,26,10.443514644351465
1,6,1.9853807334648705,101,6,22,10.0418410041841
1,6,0.8423686826272377,89,7,10,8.836820083682008
1,6,1.4825688814239384,96,8,17,9.539748953974895
1,6,1.1008073944572743,92,9,13,9.138075313807532
1,6,1.2714325405981517,94,10,15,9.338912133891213
1,6,0.9889928833652767,91,11,12,9.03765690376569
1,6,0.9791029545316239,91,12,12,9.03765690376569
1,6,1.2336697227098459,94,13,15,9.338912133891213
1,6,1.2213330254827475,94,14,15,9.338912133891213
1,6,1.8136795428418804,101,15,22,10.0418410041841
1,6,1.5390366406401097,98,16,19,9.740585774058577
1,6,1.7775873199393268,101,17,22,10.0418410041841
1,6,1.2570081762428096,95,18,16,9.439330543933055
1,6,1.2444380944803815,95,19,16,9.439330543933055
1,6,1.396259542006988,97,20,18,9.640167364016737
1,6,1.7888548720536588,102,21,23,10.142259414225942
1,6,1.7709663233331223,102,22,23,10.142259414225942
1,6,1.1954022682498575,95,23,16,9.439330543933055
