state,model,value
0,1,0
0,2,0
0,3,0
0.100418410041841,1,0.1995763379492656
0.100418410041841,2,0.049705012167153936
0.100418410041841,3,2.0132615442813862e-7
0.200836820083682,1,0.39663171162969835
0.200836820083682,2,0.09840163862677473
0.200836820083682,3,3.188543389098797e-6
0.301255230125523,1,0.5911661210412983
0.301255230125523,2,0.14608987937886242
0.301255230125523,3,1.597658330626528e-5
0.401673640167364,1,0.7831795661840655
0.401673640167364,2,0.192769734423417
0.401673640167364,3,4.9971091611311635e-5
0.502092050209205,1,0.9726720470579995
0.502092050209205,2,0.23844120376043831
0.502092050209205,3,1.2072336500035252e-4
0.602510460251046,1,1.159643563663101
0.602510460251046,2,0.28310428738992666
0.602510460251046,3,2.476852880470837e-4
0.702928870292887,1,1.3440941159993698
0.702928870292887,2,0.32675898531188186
0.702928870292887,3,4.539642700904789e-4
0.803347280334728,1,1.5260237040668057
0.803347280334728,2,0.3694052975263039
0.803347280334728,3,7.66078182121599e-4
0.9037656903765691,1,1.7054323278654087
0.9037656903765691,2,0.4110432240331928
0.9037656903765691,3,0.001213710293671233
1.00418410041841,1,1.8823199873951788
1.00418410041841,2,0.4516727648325485
1.00418410041841,3,0.0018294642096967628
1.104602510460251,1,2.0566866826561157
1.104602510460251,2,0.4912939199243711
1.104602510460251,3,0.0026486188074701378
1.205020920502092,1,2.2285324136482205
1.205020920502092,2,0.5299066893086606
1.205020920502092,3,0.0037088831734641836
1.3054393305439331,1,2.397857180371492
1.3054393305439331,2,0.5675110729854169
1.3054393305439331,3,0.005050151540240577
1.405857740585774,1,2.564660982825931
1.405857740585774,2,0.6041070709546401
1.405857740585774,3,0.006714258223336378
1.506276150627615,1,2.728943821011537
1.506276150627615,2,0.6396946832163302
1.506276150627615,3,0.008744732558152668
1.606694560669456,1,2.89070569492831
1.606694560669456,2,0.6742739097704871
1.606694560669456,3,0.011186553836840307
1.707112970711297,1,3.04994660457625
1.707112970711297,2,0.7078447506171108
1.707112970711297,3,0.014085906245187907
1.8075313807531381,1,3.206666549955358
1.8075313807531381,2,0.7404072057562019
1.8075313807531381,3,0.017489933799508695
1.907949790794979,1,3.360865531065632
1.907949790794979,2,0.7719612751877591
1.907949790794979,3,0.02144649528352849
2.00836820083682,1,3.5125435479070743
2.00836820083682,2,0.8025069589117839
2.00836820083682,3,0.02600391918527256
2.1087866108786613,1,3.661700600479684
2.1087866108786613,2,0.8320442569282753
2.1087866108786613,3,0.03121075863395273
2.209205020920502,1,3.8083366887834598
2.209205020920502,2,0.8605731692372331
2.209205020920502,3,0.03711554633685443
2.309623430962343,1,3.952451812818403
2.309623430962343,2,0.8880936958386583
2.309623430962343,3,0.043766549516224273
2.410041841004184,1,4.094045972584514
2.410041841004184,2,0.9146058367325502
2.410041841004184,3,0.05121152484615843
2.510460251046025,1,4.2331191680817915
2.510460251046025,2,0.9401095919189091
2.510460251046025,3,0.05949747338948752
2.6108786610878663,1,4.369671399310235
2.6108786610878663,2,0.9646049613977348
2.6108786610878663,3,0.06867039553466547
2.711297071129707,1,4.503702666269849
2.711297071129707,2,0.9880919451690273
2.711297071129707,3,0.0787750459326566
2.811715481171548,1,4.6352129689606265
2.811715481171548,2,1.0105705432327867
2.811715481171548,3,0.08985468843382316
2.912133891213389,1,4.764202307382574
2.912133891213389,2,1.032040755589013
2.912133891213389,3,0.10195085102481105
3.01255230125523,1,4.8906706815356875
3.01255230125523,2,1.0525025822377057
3.01255230125523,3,0.11510308076543918
3.1129707112970713,1,5.014618091419967
